id,created_at,text
393739225449132032,2013-10-25 14:02:01,b'Having a sub for three days instead of Mrs Pepper was heaven'
392995662536900608,2013-10-23 12:47:22,b'Gotta love marketing where you sit and do nothing'
390955933615931392,2013-10-17 21:42:12,b'Pocky has to be the best snack there is'
390223158869241856,2013-10-15 21:10:25,b'@LiLCBaller23 had the sickest goal Eva #upper90'
390089236848066560,2013-10-15 12:18:16,b'Happy birthday @MeganKramer15 !! Hope you have a good one!'
389415243937767424,2013-10-13 15:40:03,b'Getting hyped for the walking dead tonight #letsgo'
388414309459824640,2013-10-10 21:22:42,b'Why does books always have to have a freaking cliffhanger #thenerdlife'
387528649890869248,2013-10-08 10:43:24,b'Hey guys new Percy Jackson book is out! #letsgo'
387184627448033280,2013-10-07 11:56:23,b'Man this sub in marketing is so chill..'
386990110052347904,2013-10-06 23:03:26,b'What is the point of giving out long math assignments..'
385951821660839936,2013-10-04 02:17:39,b'@kylemonty12 @AmishJackers lol sure bud I saw the text to nick'
385951432362311680,2013-10-04 02:16:06,"b""@kylemonty12 @AmishJackers seriously it's not that confusing"""
385463425398493185,2013-10-02 17:56:56,b'@AdamZainea not cool man I love people'
385169320243769344,2013-10-01 22:28:16,b'GTA 5 Online is just beautiful.. #nerding'
384827480202571776,2013-09-30 23:49:55,b'Is anyone else excited for that GTA 5 Multi-player? #nolife'
380395492196515840,2013-09-18 18:18:47,"b""Bumping into right handed people's hands while writing #lefthandedproblems"""
378333963653107712,2013-09-13 01:47:00,b'@AmishJackers bring a cat for lunch tomorrow?'
378206361525682176,2013-09-12 17:19:57,b'does any1 want to be my fifa 14 Co op seasons partner? No? #foreveralone'
376518999992844289,2013-09-08 01:34:59,b'Guys I just hit a 360 no scope for final kill can on mw2 #nerdgasm'
376511036180156416,2013-09-08 01:03:20,b'@AdamZainea 1m 50oy main 1lL try n3rxt t1me'
376499462090534912,2013-09-08 00:17:21,b'So some drunk collage girls just asked me if I wanted a girlfriend.. I said no. #oppurtunitylosted'
375394389935550464,2013-09-04 23:06:11,b'Story problems really just ruin my day'
374372129271070721,2013-09-02 03:24:05,b'@AYYYYONG thanks man! Always love the compliments!'
374353546436562944,2013-09-02 02:10:15,b'@kylemonty12 @Hkrepost si hermano'
374352892452278272,2013-09-02 02:07:39,b'@MeganKramer15 thanks megan !!'
374352421922676736,2013-09-02 02:05:47,b'@kylemonty12 thanks big boy ;)'
374352357842120705,2013-09-02 02:05:31,b'@Hkrepost gonna be a fun time !'
374340881068744704,2013-09-02 01:19:55,b'@Hkrepost thank you hannah :) !!'
374331019458912256,2013-09-02 00:40:44,b'@ConWare thanks connor!'
374315296825151489,2013-09-01 23:38:15,b'@Ishan_32 lol thanks Ishan!'
374315183289540608,2013-09-01 23:37:48,b'@AsherH2O thanks Asher!'
374315027861221376,2013-09-01 23:37:11,b'@AmishJackers thanks my amish friend !!'
374314915009282048,2013-09-01 23:36:44,b'@IPMan778 thanks Jeffery!'
374314843940995072,2013-09-01 23:36:27,b'@Smoore0 thx Ron!'
374313530880573440,2013-09-01 23:31:14,b'@XMrRomoX thanks mikey!!'
374313417265659904,2013-09-01 23:30:47,b'@hannahkahn9 thanks hannah !!'
374290583084613632,2013-09-01 22:00:03,b'@lindseyhood97 thanks lindsey !!'
374287387406639104,2013-09-01 21:47:21,b'@littlelivss thanks Olivia!!'
374287148444155904,2013-09-01 21:46:24,b'@PhongLos Thank you phong !!'
374285122297925632,2013-09-01 21:38:21,b'@jakemogg9 thanks jacabo #spanishswag'
374206533502267392,2013-09-01 16:26:04,b'@LiLCBaller23 thanks JB!!'
374190730543386624,2013-09-01 15:23:16,b'@rachelmachuta thanks rachel!!'
374190567544344576,2013-09-01 15:22:38,b'@jackapilkington thanks jack!!'
374188908055375872,2013-09-01 15:16:02,b'@treycase07 thanks trey!!'
374186928918507520,2013-09-01 15:08:10,b'@jorgeporge thaanks jorge :) !!'
374166409825103872,2013-09-01 13:46:38,b'@JohnMccarthy07 thanks johhny :)'
373325829729554432,2013-08-30 06:06:28,b'Twitter at night is all about them deep tweets'
373130237812277248,2013-08-29 17:09:15,"b'""When people dont follow me and favorite my tweet ..like shut the f*** up, get the f*** out"" -@LiLCBaller23'"
373108061734313985,2013-08-29 15:41:08,b'RT @LiLCBaller23: GTA V is about to be so good! \xf0\x9f\x98\x81\xf0\x9f\x98\x8f'
372449014463356928,2013-08-27 20:02:19,b'@AmishJackers happy birthday amish man!!'
370983167379111936,2013-08-23 18:57:34,b'RT @JohnMccarthy07: \xe2\x80\x9c@LukasPrin: People who confuse Charizard as a dragon type #Number1PetPeeve\xe2\x80\x9d I feel your pain home sizzle\xf0\x9f\x98\x82'
370981831610335232,2013-08-23 18:52:15,b'People who confuse Charizard as a dragon type #Number1PetPeeve'
370605828459347968,2013-08-22 17:58:09,b'First chance I get im going to Tbell #number7'
370573067355185154,2013-08-22 15:47:58,b'1 more flight.. then im done flying for the year'
